Rk;Team;G;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;Year
17;Milwaukee Bucks*;82;2418;425;870;.489;5;21;.219;421;849;.495;211;280;.753;134;302;436;258;81;65;176;260;1066;1983
18;New Jersey Nets*;82;2403;428;871;.492;4;18;.201;424;853;.498;198;281;.705;154;296;450;261;111;72;228;264;1058;1983
19;Atlanta Hawks*;82;2412;409;871;.469;5;23;.239;403;849;.475;193;257;.751;139;297;436;237;70;81;174;247;1016;1983
20;New York Knicks*;82;2415;399;828;.482;4;16;.252;395;812;.486;198;278;.710;132;276;408;248;85;46;184;266;1000;1983
21;Houston Rockets;82;2406;407;908;.448;8;33;.247;399;875;.456;171;236;.725;147;276;423;235;79;51;192;260;993;1983
22;Washington Bullets;82;2415;403;861;.468;9;29;.295;395;832;.474;177;251;.705;134;296;430;250;89;49;194;239;992;1983
23;Cleveland Cavaliers;82;2409;397;853;.465;4;15;.250;393;838;.469;174;242;.721;143;294;437;212;75;35;188;273;971;1983
1;Denver Nuggets*;82;2415;480;974;.493;9;31;.302;470;942;.499;268;328;.818;138;298;436;303;87;43;164;278;1237;1984
2;San Antonio Spurs;82;2437;477;942;.506;10;32;.300;467;910;.514;240;318;.755;150;308;458;288;84;60;176;262;1203;1984
3;Detroit Pistons*;82;2427;463;965;.480;4;17;.227;459;947;.485;241;311;.775;174;297;471;275;85;51;160;265;1171;1984
4;Los Angeles Lakers*;82;2412;470;884;.532;7;28;.257;463;857;.540;209;277;.754;134;305;438;299;89;58;192;250;1156;1984
5;Utah Jazz*;82;2412;440;883;.498;12;39;.319;427;845;.506;258;330;.781;134;308;441;272;85;74;184;241;1150;1984
6;Portland Trail Blazers*;82;2415;443;877;.505;3;16;.194;440;861;.511;242;322;.754;153;268;420;254;99;48;181;260;1131;1984
7;Boston Celtics*;82;2434;441;882;.500;7;28;.240;434;854;.508;233;294;.792;141;310;451;259;82;52;173;238;1121;1984
8;Phoenix Suns*;82;2412;448;880;.509;9;35;.254;439;845;.520;204;269;.759;130;280;410;270;85;47;177;262;1110;1984
9;San Diego Clippers;82;2406;443;893;.496;3;16;.188;440;878;.502;218;296;.736;159;290;450;242;69;47;185;246;1107;1984
10;Houston Rockets;82;2409;455;919;.495;4;19;.195;451;900;.501;193;261;.740;146;303;449;269;76;63;190;283;1106;1984
11;Dallas Mavericks*;82;2434;441;882;.500;5;22;.228;436;860;.507;216;287;.755;133;276;409;264;71;44;159;232;1104;1984
12;Kansas City Kings*;82;2409;429;882;.486;6;23;.275;422;859;.492;236;304;.777;140;277;417;272;87;47;183;268;1100;1984
13;New Jersey Nets*;82;2415;441;885;.498;6;28;.211;435;857;.507;212;303;.700;149;282;431;262;99;61;196;274;1100;1984
14;Golden State Warriors;82;2418;429;919;.467;7;28;.243;422;891;.474;234;314;.743;170;265;434;224;101;42;185;257;1099;1984
15;Seattle SuperSonics*;82;2412;422;864;.488;3;17;.193;419;847;.494;234;300;.780;130;284;414;272;78;43;166;230;1081;1984
16;Philadelphia 76ers*;82;2434;413;833;.495;4;13;.271;409;820;.499;249;330;.754;144;290;435;248;98;80;199;249;1078;1984
17;New York Knicks*;82;2421;413;834;.495;6;20;.285;407;814;.500;237;306;.775;133;272;405;249;98;44;194;278;1069;1984
18;Milwaukee Bucks*;82;2427;419;850;.492;7;28;.254;411;822;.501;213;287;.740;138;291;429;258;78;60;173;264;1057;1984
19;Indiana Pacers;82;2412;420;870;.483;6;25;.232;415;844;.491;198;258;.766;122;292;415;265;102;49;186;251;1045;1984
20;Chicago Bulls;82;2437;403;850;.474;2;14;.171;401;836;.479;228;306;.746;139;280;420;255;84;55;192;268;1037;1984
21;Washington Bullets*;82;2427;408;842;.484;9;34;.252;399;808;.494;203;268;.756;125;291;416;267;68;39;177;243;1027;1984
22;Cleveland Cavaliers;82;2421;410;882;.465;5;20;.262;405;862;.470;197;266;.743;148;291;439;235;77;46;162;269;1023;1984
23;Atlanta Hawks*;82;2421;394;830;.474;3;13;.217;391;817;.478;224;294;.761;136;272;408;223;76;68;162;255;1015;1984
1;Denver Nuggets*;82;2418;473;973;.486;9;29;.311;464;944;.491;246;313;.785;162;281;443;276;109;52;169;262;1200;1985
